ref;idArt;nombre;pvp;cantCaja;precioUnidad;tipoUnidad;pvpOferta;pvpTarifa;pvpFrio
000032;8;TORTITA BICENTURY MAIZ QUESO 125G;1,95;8;15,85;KILO;1,85;;
000036;23629;QUINA SANSON 1L 14º;5,75;6;5,75;Litro;5,20;5,50;
000037;11;VINO MILFLORES RIOJA TTO.75CL 12.5º;7,20;8;10;Litro;7,10;;
000038;12;PIZZA DR.OETKER RIST.CARBO.340G;4,95;7;13,97;KILO;4,25;;
000039;16646;HELADO SPAR POLO NARAN.LIMON 480G;2,35;6;0,29;Unidad;;;2,20
000066;13;QUESO G.CAPITAN TABLA 8 CUÑAS 180G;3,7;12;20,56;KILO;3,10;;
000071;14;MOZZARELLA ORO HOLANDA RALL.200G;1,85;20;11,67;KILO;;;
000076;15;QUESO R.CROWN RALLADO PASTA 150G;1,65;20;11,67;KILO;1,45;;
000077;16;QUESO R.CROWN RALLADO GRATIN 150G;1,6;18;10,90;KILO;;;
000084;18;CENTRO JAMON CAMPOFRIO G.REN.½P.E/K;13,99;4;13,79;KILO;11,50;;
000086;19;SALCH.CAMPOFRIO HOT DOG ESP.1,2K;6,09;7;4,95;KILO;;;
000094;20;ETIQUETA ADH 100X50 BCA.MATE 750U;5,99;30;0,01;Unidad;;;
000095;101;COCA-COLA ZERO 1,5L;1,85;12;1,23;Litro;1,65;;
000096;102;PATATAS FRITAS LAY'S 200G;2,45;10;12,25;KILO;2,10;;
000097;103;ARROZ BOMBA D´ORO 1KG;1,99;20;1,99;KILO;;1,90;
000098;104;LECHE ENTERA ASTURIANA 1L;0,95;24;0,95;Litro;0,89;;
000099;105;YOGUR NATURAL DANONE 4U;1,35;12;0,34;Unidad;1,20;;
000100;106;FILETE MERLUZA CONGELADO 500G;4,50;8;9,00;KILO;3,99;;
000101;107;PAN DE MOLDE BIMBO 450G;1,55;16;3,44;KILO;1,40;;
000102;108;NOCILLA NUTELLA 400G;3,20;6;8,00;KILO;2,95;;
000103;109;GALLETAS MARÍA FONTANEDA 300G;1,10;20;3,67;KILO;;0,99;
000104;110;ACEITE OLIVA VIRGEN EXTRA 1L;6,95;12;6,95;Litro;6,50;6,70
000105;111;ATÚN AL NATURAL CALVO 3L;2,85;24;0,95;Unidad;2,50;;
000106;112;PASTA SPAGHETTI GALL ORO 500G;0,85;20;1,70;KILO;0,75;;
000107;113;TOMATES PERA LATA 400G;1,20;12;3,00;KILO;1,05;;
000108;114;CERVEZA ESTRELLA DAMM 6L;6,50;4;1,08;Litro;5,90;;
000109;115;MANZANAS GOLDEN 1KG;2,30;10;2,30;KILO;1,95;;
000110;116;POLLO ENTERO 2KG;5,80;5;2,90;KILO;5,20;;
000111;117;HUEVOS L XL 12U;2,40;6;0,20;Unidad;2,15;;
000112;118;LANGOSTINOS CONGELADOS 400G;8,50;8;21,25;KILO;7,90;;
000113;119;HELADO MAGNUM 4U;4,50;6;0,75;Unidad;4,20;;
000114;120;REFRESCO NARANJA 2L;1,65;8;0,83;Litro;1,45;;
000115;121;QUESO CURADO OVEJA 250G;3,75;10;15,00;KILO;3,40;;
000116;122;SALMÓN AHUMADO 200G;5,95;12;29,75;KILO;5,50;;
000117;123;PEPINO 1U;0,60;20;0,60;Unidad;0,50;;
000118;124;LECHE CONDENSADA 370G;1,80;12;4,86;KILO;1,60;;
000119;125;MANTEQUILLA 250G;2,10;10;8,40;KILO;1,90;;
000120;126;PIZZA MARGARITA 330G;3,20;6;9,70;KILO;2,90;;
000121;127;EMPANADILLAS CARNE 6U;3,00;8;0,50;Unidad;2,70;;
000122;128;ZUMO PIÑA 1L;1,45;12;1,45;Litro;1,30;;
000123;129;SALCHICHAS FRANKFURT 250G;2,20;15;8,80;KILO;1,95;;
000124;130;BACON AHUMADO 200G;2,75;12;13,75;KILO;2,50;;
000125;131;CALDO DE POLLO PASTILLAS 10U;1,10;24;0,11;Unidad;0,99;;
000126;132;AGUA MINERAL 1,5L;0,55;20;0,37;Litro;0,45;;
000127;133;CROQUETAS JAMÓN 500G;2,90;8;5,80;KILO;2,60;;
000128;134;GARBANZOS COCIDOS 400G;1,05;12;2,63;KILO;0,95;;
000129;135;SALSA TOMATE 350G;0,95;15;2,71;KILO;0,85;;
000130;136;MAGDALENAS 6U;1,75;10;0,29;Unidad;1,55;;
000131;137;BONITO EN ACEITE 3L;3,40;12;1,13;Unidad;3,10;;
000132;138;LASAÑA BOLOÑESA 400G;3,60;6;9,00;KILO;3,30;;
000133;139;FLAN DE HUEVO 4U;1,25;8;0,31;Unidad;1,10;;
000134;140;PAN PITA 6U;1,50;12;0,25;Unidad;1,35;;
000135;141;QUESO FRESCO BATIDO 500G;2,10;8;4,20;KILO;1,90;;
000136;142;PECHUGA TURQUIA 200G;2,45;10;12,25;KILO;2,20;;
000137;143;GELATINA SABORES 4U;0,90;12;0,23;Unidad;0,80;;
000138;144;ACEITE GIRASOL 1L;1,20;12;1,20;Litro;1,05;;
000139;145;CACAO EN POLVO 250G;2,30;10;9,20;KILO;2,10;;
000140;146;PALOMITAS MICROONDAS 3U;2,00;8;0,67;Unidad;1,80;;
000141;147;SOPA DE VERDURAS SOBRE 4U;1,40;12;0,35;Unidad;1,25;;
000142;148;ZANAHORIAS BANDEJA 500G;0,80;15;1,60;KILO;0,70;;
000143;149;CEBOLLAS 1KG;1,20;10;1,20;KILO;1,05;;
000144;150;PATATAS CHIPS 150G;1,65;12;11,00;KILO;1,45;;
