ref;idArt;nombre;pvp;cantCaja;precioUnidad;tipoUnidad;pvpOferta;pvpTarifa;pvpFrio
000201;201;TALADRO PERCUTOR BOSCH GSB 13 RE 600W;48,50;2;24,25;Unidad;45,00;47,00;
000202;202;MARTILLO GOMA STANLEY 500GR;13,20;8;1,65;Unidad;;;12,50
000203;203;TORNILLOS ACERO GALV 3,5X40MM 250U;3,40;15;0,014;Unidad;3,15;;
000204;204;CINTA ADHESIVA AMERICANA 48X50 GRIS;2,30;10;0,23;Unidad;2,10;2,20;
000205;205;LLAVE INGLESA AJUSTABLE BELLOTA 300MM;9,15;6;1,53;Unidad;8,40;;
000206;206;SACO CEMENTO PORTLAND 25KG;4,75;40;0,19;KILO;;;4,50
000207;207;ARENA FINA SACO 25KG;3,40;30;0,136;KILO;3,15;;
000208;208;PINTURA PLASTICA BLANCA 10L;24,50;2;2,45;Litro;23,00;23,50;
000209;209;RODILLO PINTURA 10CM MICROFIBRA;5,75;12;0,48;Unidad;5,25;;
000210;210;BROCHA CERDA NATURAL 40MM;3,95;20;0,20;Unidad;3,70;;
000211;211;DESTORNILLADOR ESTRELLA PZ2 150MM;2,25;24;0,094;Unidad;2,00;2,15;
000212;212;NIVEL BURBUJA ALUMINIO 60CM;19,50;4;4,88;Unidad;18,50;;
000213;213;METRO ENROLLABLE 5M ACERO;6,60;10;0,66;Unidad;6,15;;
000214;214;CINTA DE MEDIR FIBRA VIDRIO 50M;13,50;3;0,27;KILO;;;12,99
000215;215;HACHA HOJA ACERO MANGO MADERA 1,5KG;23,99;2;12,00;KILO;22,50;;
000216;216;SIERRA MANUAL CROSSCUT 480MM;17,50;5;3,50;Unidad;16,20;17,00;
000217;217;JUEGO BROCAS METAL 1-13MM 25PZ;9,50;8;0,38;Unidad;8,99;;
000218;218;LIJA GRANO 120 PAQ.5U;4,35;20;0,87;Unidad;4,10;;
000219;219;MASILLA PLASTICA 400G;6,10;12;1,53;KILO;5,60;;
000220;220;DISOLVENTE UNIVERSAL 1L;6,95;6;6,95;Litro;6,40;;
000221;221;TUERCA ACERO GALV M8 100U;3,05;30;0,031;Unidad;;2,85;
000222;222;ARANDELA PRESION M8 100U;2,10;40;0,021;Unidad;1,95;;
000223;223;CADENA ACERO GALV 3MM 25M;9,99;4;0,40;KILO;9,25;;
000224;224;CANDADO SEGURIDAD 40MM;4,50;15;0,30;Unidad;;;4,20
000225;225;BISAGRA ACERO CROMO 100X60 PAR;7,95;10;0,80;Unidad;7,50;7,70;
000226;226;TIRADOR ALUMINIO 128MM;3,40;20;0,17;Unidad;3,15;3,25;
000227;227;CLAVOS ACERO GALV 4X100 1KG;2,60;25;2,60;KILO;2,40;;
000228;228;ESPIGA MADERA 8MM CAJA 500U;5,50;12;0,011;Unidad;;;5,15
000229;229;TORNILLO CABEZA PLANA 4X40 200U;3,35;15;0,017;Unidad;3,10;3,20;
000230;230;MANGUERA JARDIN 25M REFORZADA;20,00;3;0,80;KILO;18,75;;
000231;231;GRIFO PATIO LATON 1/2;13,10;8;1,64;Unidad;12,40;12,75;
000232;232;CODO PVC 20MM 10U;2,35;20;0,24;Unidad;2,15;;
000233;233;TE PVC 25MM 5U;4,10;15;0,82;Unidad;;3,85;
000234;234;ABRAZADERA ACERO INOX 16-27MM;1,65;50;0,033;Unidad;1,50;;
000235;235;ADHESIVO SILICONA BLANCA 300ML;4,40;10;0,44;Unidad;4,05;4,25;
000236;236;ESPUMA EXPANSIVA 500ML;7,20;12;0,60;Unidad;6,80;;
000237;237;MASCARILLA FFP2 PACK 50U;9,50;5;0,19;Unidad;8,99;;
000238;238;GUANTES LATEX NEGROS 100U;4,20;20;0,042;Unidad;3,95;4,10;
000239;239;GAFAS PROTECCION POLICARBONATO;2,95;30;0,098;Unidad;;;2,75
000240;240;FOCO LED 9W E27 BLANCO FRIO;3,45;24;0,144;Unidad;3,20;;
000241;241;BOMBILLA HALOGENA 60W E14;4,80;10;0,48;Unidad;4,40;4,60;
000242;242;TUBO NEON LED 20W 120CM;13,20;8;1,65;Unidad;12,50;;
000243;243;LUMINARIA EMERGENCIA 3W BLANCA;16,80;4;4,20;Unidad;15,80;;
000244;244;REGLETA ENCHUFES 6 TOMAS 2M;8,75;12;0,73;Unidad;8,00;;
000245;245;CABLE ELECTRICO H05VV-F 2X1.5 50M;26,50;2;0,53;KILO;24,99;;
000246;246;ENCHUFE SCHUKO BLANCO 10A;1,05;50;0,021;Unidad;0,95;;
000247;247;INTERRUPTOR SIMPLE BLANCO 10A;1,35;40;0,034;Unidad;1,20;;
000248;248;CAJA EMPOTRAR PLADUR REDONDA;2,70;20;0,135;Unidad;;;2,50
000249;249;TUERCA CIEGA COBRE M6 50U;3,99;15;0,080;Unidad;3,75;;
000250;250;SOPORTES METAL L 50X50 PAR;7,40;8;0,93;Unidad;6,95;7,20;
